          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  1500 ,     3 ,  1500 ,     605.464992 ,       0.018108 ,       0.018361 ,   1.395655
   rocblas_wo_dt ,   SP ,  1600 ,     3 ,  1600 ,     717.111491 ,       0.017431 ,       0.017631 ,   1.148954
   rocblas_wo_dt ,   SP ,  1700 ,     3 ,  1700 ,     596.326135 ,       0.024012 ,       0.024252 ,   0.999871
   rocblas_wo_dt ,   SP ,  1800 ,     3 ,  1800 ,     699.597743 ,       0.021679 ,       0.022399 ,   3.321236
   rocblas_wo_dt ,   SP ,  1900 ,     3 ,  1900 ,     618.249838 ,       0.027919 ,       0.029159 ,   4.440649
   rocblas_wo_dt ,   SP ,  2000 ,     3 ,  2000 ,     694.878943 ,       0.028470 ,       0.028805 ,   1.176599
   rocblas_wo_dt ,   SP ,  2100 ,     3 ,  2100 ,     811.363315 ,       0.026391 ,       0.027411 ,   3.866655
   rocblas_wo_dt ,   SP ,  2200 ,     3 ,  2200 ,     825.584003 ,       0.029179 ,       0.029307 ,   0.437959
   rocblas_wo_dt ,   SP ,  2300 ,     3 ,  2300 ,     686.887770 ,       0.038161 ,       0.038490 ,   0.862177
   rocblas_wo_dt ,   SP ,  2400 ,     3 ,  2400 ,     860.897497 ,       0.032880 ,       0.033290 ,   1.247190
   rocblas_wo_dt ,   SP ,  2500 ,     3 ,  2500 ,     820.942136 ,       0.037861 ,       0.038040 ,   0.472292
   rocblas_wo_dt ,   SP ,  2600 ,     3 ,  2600 ,     898.694103 ,       0.037320 ,       0.037632 ,   0.836900
   rocblas_wo_dt ,   SP ,  2700 ,     3 ,  2700 ,     859.153331 ,       0.042200 ,       0.042381 ,   0.429379
   rocblas_wo_dt ,   SP ,  2800 ,     3 ,  2800 ,     872.498655 ,       0.044670 ,       0.044868 ,   0.442997
   rocblas_wo_dt ,   SP ,  2900 ,     3 ,  2900 ,     859.556418 ,       0.048721 ,       0.048921 ,   0.411059
   rocblas_wo_dt ,   SP ,  3000 ,     3 ,  3000 ,     873.134737 ,       0.051179 ,       0.051520 ,   0.666170
   rocblas_wo_dt ,   SP ,   500 ,     4 ,   500 ,     315.242009 ,       0.005519 ,       0.005538 ,   0.345572
   rocblas_wo_dt ,   SP ,   600 ,     4 ,   600 ,     410.171088 ,       0.006020 ,       0.006042 ,   0.356436
   rocblas_wo_dt ,   SP ,   700 ,     4 ,   700 ,     471.163694 ,       0.007160 ,       0.007288 ,   1.798202
   rocblas_wo_dt ,   SP ,   800 ,     4 ,   800 ,     572.494265 ,       0.007560 ,       0.007660 ,   1.324503
   rocblas_wo_dt ,   SP ,   900 ,     4 ,   900 ,     617.143708 ,       0.008578 ,       0.008700 ,   1.417454
   rocblas_wo_dt ,   SP ,  1000 ,     4 ,  1000 ,     714.142949 ,       0.009789 ,       0.009802 ,   0.131521
