          kernel ,  prs ,     m ,     n ,     p ,        GLOPS/s ,   minimum (ms) ,     median (ms),   stab (%)
   rocblas_wo_dt ,   SP ,  1100 ,     3 ,  1100 ,     413.940968 ,       0.011401 ,       0.015378 ,  34.880802
   rocblas_wo_dt ,   SP ,  1200 ,     3 ,  1200 ,     479.987221 ,       0.011797 ,       0.015440 ,  30.881165
   rocblas_wo_dt ,   SP ,  1300 ,     3 ,  1300 ,     548.103965 ,       0.012197 ,       0.015621 ,  28.068804
   rocblas_wo_dt ,   SP ,  1400 ,     3 ,  1400 ,     434.693186 ,       0.020876 ,       0.022802 ,   9.227958
   rocblas_wo_dt ,   SP ,  1500 ,     3 ,  1500 ,     607.004430 ,       0.015178 ,       0.018401 ,  21.237825
   rocblas_wo_dt ,   SP ,  1600 ,     3 ,  1600 ,     712.766367 ,       0.017519 ,       0.017719 ,   1.143168
   rocblas_wo_dt ,   SP ,  1700 ,     3 ,  1700 ,     683.385228 ,       0.020380 ,       0.021200 ,   4.024333
   rocblas_wo_dt ,   SP ,  1800 ,     3 ,  1800 ,     726.444504 ,       0.021162 ,       0.022440 ,   6.038756
   rocblas_wo_dt ,   SP ,  1900 ,     3 ,  1900 ,     650.662341 ,       0.026441 ,       0.027900 ,   5.518485
   rocblas_wo_dt ,   SP ,  2000 ,     3 ,  2000 ,     839.528144 ,       0.023217 ,       0.023661 ,   1.910043
   rocblas_wo_dt ,   SP ,  2100 ,     3 ,  2100 ,     858.512401 ,       0.025082 ,       0.025320 ,   0.950570
   rocblas_wo_dt ,   SP ,  2200 ,     3 ,  2200 ,     931.285466 ,       0.025177 ,       0.025558 ,   1.515152
   rocblas_wo_dt ,   SP ,  2300 ,     3 ,  2300 ,     684.295715 ,       0.038304 ,       0.038638 ,   0.871405
   rocblas_wo_dt ,   SP ,  2400 ,     3 ,  2400 ,     822.127172 ,       0.033040 ,       0.035143 ,   6.364555
   rocblas_wo_dt ,   SP ,  2500 ,     3 ,  2500 ,     814.209955 ,       0.038180 ,       0.038362 ,   0.474585
   rocblas_wo_dt ,   SP ,  2600 ,     3 ,  2600 ,     884.733616 ,       0.037799 ,       0.038180 ,   1.009209
   rocblas_wo_dt ,   SP ,  2700 ,     3 ,  2700 ,     842.900195 ,       0.042920 ,       0.043221 ,   0.699922
   rocblas_wo_dt ,   SP ,  2800 ,     3 ,  2800 ,     860.539011 ,       0.045061 ,       0.045600 ,   1.195767
